"","Methods","RHO","Median","Q1","Q3","Mean","SD","Prop.SIFI","PropCens"
"2","H0 10 - Best Flip",5.2,-3,-4,-2,-3.3763,1.3612,0.0228,0.1836
"1"," Best Clone",5.2,-8,-10,-5,-7.4062,2.9838,0.05,0.4027
"3","Best Delete",5.2,-6,-8,-4,-5.9211,2.841,0.04,0.322
"5","Worst Flip",5.2,-9,-11,-6,-8.0563,3.1791,0.0544,0.4381
"4","Worst Clone",5.3,-20,-25,-13,-18.7228,7.9458,0.1265,2.2668
"6","Worst Delete",5.2,-15,-19,-10,-14.4852,5.9082,0.0979,0.7876
"8"," H0 40 - Best Flip",5.1,-6,-7,-4,-5.6804,2.3151,0.0258,0.0603
"7","Best Clone",5.1,-13,-17,-9,-12.9944,5.5371,0.0591,0.1379
"9","Best Delete",5.1,-10,-13,-7,-9.8276,4.3522,0.0447,0.1043
"11","Worst Flip",5.1,-8,-10,-6,-7.7675,2.9889,0.0353,0.0824
"10","Worst Clone",5.1,-18,-23,-12,-17.0521,6.9444,0.0775,0.181
"12","Worst Delete",5.1,-15,-18,-10,-13.8644,5.4848,0.063,0.1471
"14","H0 80 - Best Flip",4.8,-20,-26,-14,-19.4862,8.1327,0.0295,0.0359
"13"," Best Clone",4.8,-48,-62,-31,-45.9601,20.3516,0.0696,0.0846
"15","Best Delete",4.8,-35,-45,-24,-34.0617,14.3401,0.0516,0.0627
"17","Worst Flip",4.8,-8,-10,-5,-7.3024,2.7502,0.0111,0.0134
"16","Worst Clone",4.8,-16,-21,-11,-15.6218,6.1343,0.0237,0.0288
"18","Worst Delete",4.8,-14,-17,-9,-12.9403,5.0128,0.0196,0.0238
"20","H1 10 - Best Flip",73,2,1,4,2.6337,1.5394,0.0178,0.1394
"19","Best Clone",73,4,2,6,4.2354,2.7152,0.0286,0.2242
"21","Best Delete",73,5,3,8,5.9427,4.0184,0.0402,0.3146
"23","Worst Flip",73,6,3,9,6.7307,4.2227,0.0455,0.3564
"22","Worst Clone",73,11,6,18,12.7564,8.718,0.0862,0.6754
"24","Worst Delete",73,13,7,20,13.7953,8.744,0.0932,0.7304
"26","H1 40 - Best Flip",80.5,5,3,7,5.2839,3.2928,0.024,0.0582
"25","Best Clone",80.5,9,5,14,10.4658,7.1787,0.0476,0.1154
"27","Best Delete",80.5,9,5,14,10.1051,6.48,0.0459,0.1114
"29","Worst Flip",80.5,7,4,10,7.5106,4.5526,0.0341,0.0828
"28","Worst Clone",80.5,13,7,20,14.0841,9.1856,0.064,0.1552
"30","Worst Delete",80.5,14,8,22,15.552,9.5521,0.0707,0.1714
"32","H1 80 - Best Flip",85.5,18,10,28,20.2438,12.8365,0.0307,0.0379
"31","Best Clone",85.5,41,22,67,47.3182,33.5186,0.0717,0.0886
"33","Best Delete",85.5,33,19,49,35.5837,21.6625,0.0539,0.0666
"35","Worst Flip",85.5,7,4,11,7.9014,4.5247,0.012,0.0148
"34","Worst Clone",85.5,13,8,20,14.3723,8.623,0.0218,0.0269
"36","Worst Delete",85.5,16,9,23,16.6507,9.8045,0.0252,0.0312
